id,english,tamil_reference,domain,topic,generated_tamil
79,U.S. President George W. Bush welcomed the announcement.,யு.எஸ். ஜனாதிபதி ஜார்ஜ். டபிள்யூ. புஷ் இந்த அறிவிப்பை வரவேற்றுள்ளார்.,wikinews,Politics,இந்த அறிவிப்பை அமெரிக்க அதிபர் ஜார்ஜ் டபிள்யூ புஷ் வரவேற்றார்.
80,"Bush spokesman Gordon Johndroe called North Korea's pledge ""a major step towards the goal of achieving the verifiable denuclearization of the Korean peninsula.""","""புஷ்ஷின் பிரதிநிதி பேச்சாளர் கார்டன் ஜான்ட்ரோ வட கொரியாவின் உறுதிமொழியை """" கொரியத் தீவு அணு ஆயுத நீக்கம் பரிசீலனை செய்யப்படும் இலக்கை அடைவதற்கான முக்கிய நடவடிக்கை"""" என அழைத்தார்.""",wikinews,Politics,"புஷ்ஷின் செய்தித் தொடர்பாளர் கார்டன் ஜான்ட்ரோ, வட கொரியாவின் உறுதிமொழியை ""கொரிய தீபகற்பத்தை சரிபார்க்கக்கூடிய அணுஆயுதமயமாக்கலை அடைவதற்கான இலக்கை நோக்கிய ஒரு பெரிய படி"" என்று அழைத்தார்."
81,"The tenth named storm of the Atlantic Hurricane season, Subtropical Storm Jerry, formed in the Atlantic Ocean today.","அட்லாண்டிக் சூறாவளி தாக்கத்தின் பத்தாவது துணை வெப்பமண்டல புயலின் பெயர் ஜெர்ரி, இன்று அட்லாண்டிக் பெருங்கடலில் இருந்து உருவானது.",wikinews,Weather,"அட்லாண்டிக் சூறாவளி பருவத்தின் பத்தாவது பெயரிடப்பட்ட புயல், துணை வெப்பமண்டல புயல் ஜெர்ரி, இன்று அட்லாண்டிக் பெருங்கடலில் உருவானது."
82,The National Hurricane Center (NHC) says that at this point Jerry poses no threat to land.,தேசிய சூறாவளி மையம் (NHC) இந்த நேரத்தில் ஜெர்ரி ஆல் எந்த அச்சுறுத்தலும் இல்லை என்று கூறுகிறது.,wikinews,Weather,இந்த கட்டத்தில் ஜெர்ரி நிலத்திற்கு எந்த அச்சுறுத்தலையும் ஏற்படுத்தவில்லை என்று தேசிய சூறாவளி மையம் (என். எச். சி) கூறுகிறது.
83,The U.S. Corps of Engineers estimated that 6 inches of rainfall could breach the previously damaged levees.,"U.S கார்ப்ஸ் ஆஃப் இன்ஜினியர்ஸ், 6 inches மழைப்பொழிவு என்பது முன்னர்  நிகழ்ந்த சேதத்தை மீறும் என்று மதிப்பிட்டுள்ளது.",wikinews,Weather,6 அங்குல மழைப்பொழிவு முன்பு சேதமடைந்த தடைகளை உடைக்கக்கூடும் என்று யு. எஸ். கார்ப்ஸ் ஆஃப் இன்ஜினியர்ஸ் மதிப்பிட்டுள்ளது.
84,"The Ninth Ward, which saw flooding as high as 20 feet during Hurricane Katrina, is currently in waist-high water as the nearby levee was overtopped.","கேட்ரினா புயலின் போது 20 அடி உயரத்திற்கு வெள்ளம் கண்ட ஒன்பதாம் வார்ட், தற்போது அணை உடைந்ததால், இடுப்பளவு தண்ணீரில் மூழ்கியிருக்கிறது.",wikinews,Weather,"கத்ரீனா சூறாவளியின் போது 20 அடி உயரத்தில் வெள்ளம் ஏற்பட்ட ஒன்பதாவது வார்டு, தற்போது அருகிலுள்ள கட்டை மேல் இருந்ததால் இடுப்பு உயர நீரில் உள்ளது."
85,Water is spilling over the levee in a section 100 feet wide.,"100 அடி அகலத்தின் ஒரு பிரிவில், ஒரு லெவீ வழியாக நீர் வழிந்து பரவுகிறது.",wikinews,Weather,100 அடி அகலமுள்ள ஒரு பகுதியில் உள்ள தடுப்பணை மீது தண்ணீர் கொட்டுகிறது.
86,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,காமனின் நிர்வாக அதிகாரி ஆடம் க்யூடென் கடந்த மாதம் விக்கி செய்திகளுக்காக பேசிய போது நீக்கம் குறித்த அவரது அதிருப்தியை வெளிப்படுத்தினார்.,wikinews,Media,காமன்ஸ் நிர்வாகி ஆடம் கியூர்டன் கடந்த மாதம் விக்கி செய்திகளுடன் பேசியபோது நீக்கப்பட்டவை குறித்து தனது விரக்தியை வெளிப்படுத்தினார்.
87,"""He [Wales] basically lied to us from the start. First, by acting as if this was for legal reasons. Second, by pretending he was listening to us, right up to his art deletion.""","""அவர் (வேல்ஸ்) துவக்கத்திலிருந்தே எங்களிடம் பொய் கூறினார். முதலில், இது சட்டம் குறித்த காரணங்களுக்காக என்றார். இரண்டாவதாக, அவருக்கு கைவந்த கலையான நீக்கம் வரை, நாங்கள் பேசுவதைக் கேட்பது போல் நடித்தார்.""""""",wikinews,Media,"""அவர் (வேல்ஸ்) ஆரம்பத்தில் இருந்தே எங்களிடம் பொய் கூறினார். முதலில், இது சட்ட காரணங்களுக்காக என்று நடித்தார். இரண்டாவதாக, அவர் எங்கள் பேச்சைக் கேட்பதாக நடிப்பதன் மூலம், அவரது கலை நீக்கம் வரை""."
88,The community irritation led to current efforts to draft a policy regarding sexual content for the site which hosts millions of openly-licensed media.,"சமூகத்தில் ஏற்பட்ட எரிச்சல், பாலுணர்வு தொடர்பான விஷயங்கள் குறித்து தற்போது, பல்வேறு வெளிப்படையான உரிமை பெற்ற ஊடகங்களை வெளியிடும் தளத்தின் கொள்கையை வரையறுக்கும் முயற்சிக்கு வழிவகுத்தது.",wikinews,Media,சமூகத்தின் எரிச்சல் மில்லியன் கணக்கான வெளிப்படையான உரிமம் பெற்ற ஊடகங்களை வழங்கும் தளத்திற்கான பாலியல் உள்ளடக்கம் தொடர்பான கொள்கையை உருவாக்குவதற்கான தற்போதைய முயற்சிகளுக்கு வழிவகுத்தது.
89,"The work done was mostly theoretical, but the program was written to simulate observations made of the Sagittarius galaxy.",கோட்பாட்டை அடிப்படையாகக் கொண்ட வேலைகள் மட்டுமே பெரும்பாலும் முடிக்கப்பட்டுள்ளன. ஆனால் இந்த திட்டம் தனுசு விண்மீனை கண்காணிக்க துண்டுதலாக எழுதப்பட்டது.,wikinews,Research,"செய்யப்பட்ட வேலை பெரும்பாலும் கோட்பாட்டளவில் இருந்தது, ஆனால் இந்த திட்டம் தனுசு விண்மீன் மண்டலத்தின் அவதானிப்புகளை உருவகப்படுத்துவதற்காக எழுதப்பட்டது."
90,The effect the team was looking for would be caused by tidal forces between the galaxy's dark matter and the Milky Way's dark matter.,"குழு எதிர் நோக்கும் பாதிப்பு, விண்மீனின் இருண்ட பொருளுக்கும், பால்வீதியின் இருண்ட பொருளுக்கும் இடையிலான அலை சக்திகளால் ஏற்படும்.",wikinews,Research,விண்மீன் மண்டலத்தின் இருண்ட பொருளுக்கும் பால்வீதியின் இருண்ட பொருளுக்கும் இடையிலான அலை சக்திகளால் குழு தேடும் விளைவு ஏற்படும்.
91,"Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy.","சந்திரன் பூமியில் ஒரு இழுவை செலுத்தி அலைகளை ஏற்படுத்துகிறது, அதே போல் பால்வீதி, தனுசு விண்மீன் கூட்டம் மீது ஒரு சக்தியை செலுத்துகிறது.",wikinews,Research,"சந்திரன் பூமியில் ஒரு இழுவை ஏற்படுத்துவதைப் போலவே, அலைகளை ஏற்படுத்துகிறது, அதேபோல் பால்வீதியும் தனுசு விண்மீன் மண்டலத்தில் ஒரு சக்தியை செலுத்துகிறது."
92,The scientists were able to conclude that the dark matter affect other dark matter in the same way regular matter does.,அறிவியல் வல்லுனர்களால் பொதுவான மேட்டர்/பருப்பொருளில் ஏற்படுவது போலவே ஒரு டார்க் மேட்டர் மற்றொரு டார்க் மேட்டரை பாதிக்கிறது என்ற முடிவு செய்ய இயன்றது.,wikinews,Research,வழக்கமான பொருள் போலவே இருண்ட பொருள் மற்ற இருண்ட பொருளை பாதிக்கிறது என்று விஞ்ஞானிகளால் முடிவு செய்ய முடிந்தது.
93,"This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles.","விண்மீன் மண்டலத்தை சுற்றியுள்ள மிகவும் இருட்டான விஷயம் விண்மீன் மண்டலத்தை சுற்றி ஒளிவட்ட வடிவல் அமைந்துள்ளது, மற்றும் அது பெருமளவு சிறுதுகள்களால் உருவாக்கப்பட்டது.",wikinews,Research,"இந்த கோட்பாடு ஒரு விண்மீன் மண்டலத்தைச் சுற்றியுள்ள பெரும்பாலான இருண்ட பொருள் ஒரு வகையான ஒளிவட்டத்தில் ஒரு விண்மீன் மண்டலத்தைச் சுற்றி அமைந்துள்ளது என்றும், அது நிறைய சிறிய துகள்களால் ஆனது என்றும் கூறுகிறது."
94,Television reports show white smoke coming from the plant.,தொலைக்காட்சி அறிக்கைகள் ஆலையிலிருந்து வெண்ணிறப் புகை வெளிவருவதை காண்பித்தன.,wikinews,Disaster,இந்த ஆலையில் இருந்து வெள்ளை புகை வருவதை தொலைக்காட்சி அறிக்கைகள் காட்டுகின்றன.
95,"Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.","உள்ளுர் அதிகாரிகள் ஆலையின் அருகாமையில் வசிப்பவர்களை வீட்டினுள்ளேயே இருக்குமாறும், குளிர்சாதனப் பெட்டிகளை அணைத்து வைக்குமாறும், குழாய்த் தண்ணீரை குடிக்காமலிருக்குமாறும் எச்சரிக்கின்றனர்.",wikinews,Disaster,"ஆலைக்கு அருகிலுள்ள குடியிருப்பாளர்கள் வீட்டுக்குள்ளேயே இருக்கவும், ஏர் கண்டிஷனர்களை அணைக்கவும், குழாய் நீரைக் குடிக்க வேண்டாம் என்றும் உள்ளூர் அதிகாரிகள் எச்சரிக்கிறார்கள்."
96,"According to Japan's nuclear agency, radioactive caesium and iodine has been identified at the plant.","ஜப்பானின் அணுசக்தி முகவாண்மையின்படி ஆலையில், கதிரியக்க சீசியம் மற்றும் அயோடின் கண்டறியப்பட்டுள்ளது.",wikinews,Disaster,"ஜப்பானின் அணுசக்தி நிறுவனத்தின் கூற்றுப்படி, கதிரியக்க சீசியம் மற்றும் அயோடின் ஆகியவை ஆலையில் அடையாளம் காணப்பட்டுள்ளன."
97,Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.,"அதிகாரிகள் இது, யுரேனியம் எரிசக்திப் பொருள் வைக்கப்பட்டிருந்த கலம் சேதமடைந்திருக்கலாம் மற்றும் ஒழுகல் ஏற்பட்டிருப்பதைக் குறிக்கலாம் என அனுமானிக்கின்றனர்.",wikinews,Disaster,அந்த இடத்தில் யுரேனியம் எரிபொருளை வைத்திருக்கும் கொள்கலன்கள் சிதைந்து கசிந்திருக்கலாம் என்பதை இது குறிக்கிறது என்று அதிகாரிகள் ஊகிக்கின்றனர்.
98,Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.,டாக்டர் டோனி மோல் மருந்தை பலமாக எதிர்க்கும் காச நோயை (XDR-TB) தென்னாப்பிரிக்க பிராந்தியமான க்வாஸுலு-நடாலில் கண்டுபிடித்தார்.,wikinews,Health,"டாக்டர் டோனி மால், தென்னாப்பிரிக்காவின் குவாசுலு-நடால் பிராந்தியத்தில் மிகவும் மருந்து எதிர்ப்பு காசநோயை (எக்ஸ். டி. ஆர்-டிபி) கண்டுபிடித்தார்."
99,"In an interview, he said the new variant was ""very highly troubling and alarming because of the very high fatality rate.""","""ஒரு நேர்காணலில், புதிய மாறுபாடு என்னவெனில், """"மிக அதிகமான இறப்பு விகிதம் மிகவும் சிக்கலானது மற்றும் ஆபத்தானது"""" என்று அவர் கூறினார்.""",wikinews,Health,"ஒரு நேர்காணலில், புதிய மாறுபாடு ""மிக அதிக இறப்பு விகிதம் காரணமாக மிகவும் தொந்தரவாகவும் ஆபத்தானதாகவும் உள்ளது"" என்று அவர் கூறினார்."
100,"Some patients might have contracted the bug in the hospital, Dr. Moll thinks, and at least two were hospital health workers.","சில நோயாளிகளுக்கு மருத்துவமனையில் தவறு ஏற்பட்டிருக்கலாம், குறைந்தது இரண்டு பேர் மருத்துவமனை சுகாதார ஊழியர்களாக இருக்க வேண்டும் என்று டாக்டர் மோல் நினைக்கிறார்.",wikinews,Health,"சில நோயாளிகள் மருத்துவமனையில் பூச்சியால் பாதிக்கப்பட்டிருக்கலாம், டாக்டர் மால் நினைக்கிறார், குறைந்தது இரண்டு பேர் மருத்துவமனை சுகாதாரப் பணியாளர்கள்."
